"","Song","SongPreference"
"0","4 Minutes ","30.0"
"1","American Life","47.0"
"2","American Pie","65.0"
"3","Angel","66.0"
"4","Another Suitcase in Another Hall","17.0"
"5","Bad Girl","64.0"
"6","Beautiful Stranger","29.0"
"7","Bedtime Story","23.0"
"8","Bitch I'm Madonna ","73.0"
"9","Borderline","5.0"
"10","Burning Up","50.0"
"11","Bye Bye Baby","71.0"
"12","Causing a Commotion","52.0"
"13","Celebration","61.0"
"14","Cherish","8.0"
"15","Crazy for You[d]","32.0"
"16","Dear Jessie","35.0"
"17","Deeper and Deeper","63.0"
"18","Die Another Day","79.0"
"19","Don't Cry for Me Argentina","2.0"
"20","Don't Tell Me","3.0"
"21","Dress You Up","45.0"
"22","Drowned World/Substitute for Love","9.0"
"23","Erotica","27.0"
"24","Everybody[a]","14.0"
"25","Express Yourself","24.0"
"26","Fever","22.0"
"27","Frozen","11.0"
"28","Gambler","37.0"
"29","Get Together[k]","7.0"
"30","Ghosttown","26.0"
"31","Girl Gone Wild[m]","12.0"
"32","Give It 2 Me","28.0"
"33","Give Me All Your Luvin' ","46.0"
"34","Hanky Panky","54.0"
"35","Hey You","42.0"
"36","Hold Tight[p]","13.0"
"37","Holiday[b]","19.0"
"38","Hollywood","40.0"
"39","Human Nature","34.0"
"40","Hung Up","41.0"
"41","I'll Remember","31.0"
"42","Into the Groove[e]","77.0"
"43","Jump[l]","75.0"
"44","Justify My Love","33.0"
"45","Keep It Together[h]","55.0"
"46","La Isla Bonita","1.0"
"47","Like a Prayer","18.0"
"48","Like a Virgin","10.0"
"49","Live to Tell","20.0"
"50","Living for Love[o]","4.0"
"51","Love Don't Live Here Anymore","21.0"
"52","Love Profusion[j]","57.0"
"53","Lucky Star[c]","38.0"
"54","Masterpiece[n]","16.0"
"55","Material Girl","0.0"
"56","Me Against the Music","82.0"
"57","Miles Away","49.0"
"58","Music","25.0"
"59","Nothing Fails[i]","51.0"
"60","Nothing Really Matters","60.0"
"61","Oh Father[g]","59.0"
"62","One More Chance","36.0"
"63","Open Your Heart","74.0"
"64","Papa Don't Preach","56.0"
"65","Rain","68.0"
"66","Ray of Light","53.0"
"67","Rescue Me","67.0"
"68","Revolver ","81.0"
"69","Secret","15.0"
"70","Sorry","39.0"
"71","Spotlight[f]","48.0"
"72","Take a Bow","72.0"
"73","The Look of Love","44.0"
"74","The Power of Good-Bye","43.0"
"75","This Used to Be My Playground","80.0"
"76","True Blue","70.0"
"77","Turn Up the Radio","69.0"
"78","Vogue","78.0"
"79","What It Feels Like for a Girl","58.0"
"80","Who's That Girl","62.0"
"81","You Must Love Me","76.0"
"82","You'll See","6.0"
